7
607442,/,57972,58379
607443,/,57972,34902
607444,/,57972,21659
607445,/,57972,21658
607446,/,57994,28145
607447,\,23833,58024
607448,\,45873,132730
607449,\,40842,58055
607450,\,28120,58055
607451,\,34434,58064
607452,\,52944,58066
607453,\,24576,58066
607454,\,115839,58066
607455,/,58067,100467
607456,/,58067,100468
607457,/,58067,26998
607458,\,37730,58072
607459,\,109365,58139
607460,\,22957,58139
607461,\,42502,58139
607462,\,43471,58139
607463,\,98377,58139
607464,\,98378,58139
607465,\,47692,58174
607466,/,58223,27050
607467,/,58223,126353
607468,/,58223,27051
607469,/,58223,126356
607470,/,58223,52853
607471,/,58223,27052
607472,/,58223,41558
607473,\,117148,99377
607474,/,58299,99065
607475,\,33058,58319
607476,\,123831,100216
607477,\,44860,58351
607478,\,119485,58360
607479,\,119485,132539
607480,\,131694,58386
607481,/,58395,26150
607482,\,52635,58398
607483,\,31434,58398
607484,\,27267,33554
607485,\,57022,47823
607486,\,49981,47823
607487,\,23669,98685
607488,\,51312,101106
607489,\,28337,26149
607504,\,27365,27394
607515,/,23432,23430
607527,/,27266,27251
607528,/,27541,41344
607529,/,27640,27641
607530,/,27640,129643
607531,/,28217,31624
607532,/,28217,132009
607533,/,28472,37810
607534,/,33618,52719
607535,/,40794,118302
607536,/,34645,48652
607537,/,41016,26586
607538,/,51968,100267
607539,/,40283,101524
607540,/,40283,101525
607541,/,40283,46142
607542,/,40283,101531
607543,/,40283,28684
607544,/,45604,33038
607545,/,46565,47297
607546,/,51822,57544
607547,/,51822,114744
607548,/,51822,24336
607549,/,51822,114747
607550,/,30425,48267
607551,/,32282,47072
607552,/,55142,47823
607553,/,55721,37823
607554,/,56653,52860
607555,/,57806,129791
607556,/,28217,22674
607557,/,28217,22992
607558,/,28217,43217
607559,/,28217,44951
607560,/,28217,35671
607561,/,20833,132293
607562,/,27481,132798
607563,/,20406,20407
607564,/,20406,31373
607565,/,20833,21328
607566,/,20833,22070
607567,/,21848,26330
607568,/,34279,28798
607569,/,24509,24508
607570,/,24874,24875
607571,/,24874,40933
607572,/,25393,22890
607573,/,25393,100376
607574,/,26405,42521
607575,/,26407,123599
607576,/,27266,35948
607577,/,27481,128520
607578,/,27481,27482
607579,/,27640,27642
607580,/,51822,24337
607581,/,100479,47805
607582,/,26845,47878
607583,/,19899,42850
607584,/,20833,39361
607585,/,20833,104635
607586,/,23194,42751
607587,/,23194,23196
607588,/,24435,24409
607589,/,25112,25105
607590,/,25331,37756
607591,/,25393,54226
607592,/,25669,120149
607593,/,26149,57265
607594,/,26407,49337
607595,/,26407,100216
607596,/,26407,26418
607597,/,26407,26419
607598,/,26584,34986
607599,/,27103,28546
607600,/,27103,115111
607601,/,27125,34563
607602,/,27541,27543
607603,/,27541,31229
607604,/,27541,49490
607605,/,27620,44562
607606,/,28217,28215
607607,/,29723,30493
607608,/,29887,44033
607609,/,29887,41316
607610,/,29887,22656
607611,/,41016,53581
607612,/,41016,49947
607613,/,36534,58030
607614,/,37096,27556
607615,/,51968,40373
607616,/,40283,101530
607617,/,42413,58056
607630,/,56217,56127
607645,/,23798,45985
607659,/,26584,29583
607660,/,26584,46698
607661,/,26584,45113
607662,/,26584,51520
607663,/,26585,19712
607664,/,26585,50998
607665,/,26594,22916
607666,/,26935,38422
607667,/,26935,35227
607668,/,27103,57970
607669,/,27103,54078
607670,/,27103,46268
607671,/,27103,24423
607672,/,27103,131994
607673,/,27541,35035
607674,/,27541,57801
607675,/,27541,27566
607676,/,27620,44037
607677,/,27620,46698
607678,/,27620,27622
607679,/,27640,129642
607680,/,27849,27855
607681,/,27917,41864
607682,/,27917,27918
607683,/,28217,132007
607684,/,29887,53032
607685,/,29887,56080
607686,/,29887,42796
607687,/,29887,53158
607688,/,29887,52067
607689,/,29887,58382
607690,/,29887,128212
607691,/,29887,37388
607692,/,30915,47128
607693,/,32681,58270
607694,/,32681,97893
607695,/,32800,58139
607696,/,40794,31994
607697,/,34032,25356
607698,/,34349,58139
607699,/,34349,57011
607700,/,34349,53919
607701,/,34349,56454
607702,/,53215,29729
607703,/,34645,37284
607704,/,34645,43444
607705,/,48283,42192
607706,/,48283,53330
607707,/,48283,25888
607708,/,48283,31936
607709,/,48283,33348
607710,/,48283,48552
607711,/,35441,46081
607712,/,37096,27481
607713,/,37096,27487
607714,/,37549,33375
607715,/,37549,27199
607716,/,37549,33459
607717,/,37549,41129
607718,/,37549,58042
607719,/,40037,31057
607720,/,40283,101532
607721,/,42413,47460
607722,/,29729,42453
607723,/,44233,36134
607724,/,44233,32684
607725,/,44233,57693
607726,/,44233,34096
607727,/,44233,38846
607728,/,44233,58021
607729,/,44233,51520
607730,/,44233,27945
607731,/,44233,101051
607732,/,45113,34032
607733,/,45819,33062
607734,/,45900,42305
607735,/,45900,37414
607736,/,46556,42846
607737,/,46608,24372
607738,/,47428,42796
607739,/,47428,24364
607740,/,47428,40037
607741,/,33941,47460
607742,/,33941,29583
607743,/,51822,24335
607747,/,52497,25330
607762,/,58139,98377
607827,!,29739,34611
611264,-c,139131,100366
611277,-c,139132,22640
611292,-c,139131,26669
611294,-c,139131,26809
611295,-c,139131,132695
611296,-c,139131,26833
611297,-c,139131,26806
611298,-c,139131,26821
611299,-c,139131,26650
611300,-c,139131,100374
611301,\,25074,138587
611302,-c,139137,19828
611303,-c,139132,22581
611304,-c,139131,26684
611305,-c,139131,26702
611306,-c,139131,26797
611307,-c,139131,26688
611308,-c,139130,27090
611309,-c,139131,124615
611310,\,139136,47428
611311,-c,139131,42047
611312,-c,139131,39787
611313,-c,139132,22619
611314,-c,139132,22648
611315,-c,139131,26683
611316,-c,139131,58325
611317,-c,139131,46980
611318,-c,139131,132701
611319,-c,139131,124698
611320,-c,139132,22550
611321,-c,139131,26857
611322,-c,139131,50130
611323,-c,139131,26842
611324,-c,139131,133111
611325,-c,139131,124936
611326,-c,139131,26712
611327,-c,139132,22573
611328,-c,139131,26764
611329,-c,139131,42083
611330,-c,139132,22627
611331,-c,139131,26709
611332,-c,139130,27147
611333,-c,139132,40336
611334,+c,42192,48283
611335,+c,42192,133233
611336,-c,48283,42192
611337,-c,139130,27091
611338,-c,139131,26766
611339,-c,139131,26660
611340,-c,139132,22523
611341,-c,139132,22608
611342,-c,139131,44698
611343,-c,139131,26742
611344,-c,139132,22525
611345,-c,139132,107937
611346,-c,139131,133109
611347,-c,139131,26784
611348,-c,139132,22610
611349,-c,139132,98188
611350,+c,22182,48283
611351,-c,48283,22182
611352,-c,139132,22602
611353,\,127261,135939
611354,-c,139132,22514
611367,+c,51312,133259
611382,/,20331,20334
611396,/,22739,22741
611397,\,109828,23078
611398,\,109919,23102
611399,\,110375,34264
611400,\,23337,23359
611401,/,23449,40224
611402,/,23451,23459
611403,/,23453,23454
611404,/,23459,23449
611405,/,23459,23451
611406,\,57743,23481
611407,/,23605,23604
611408,/,23692,53964
611409,/,23701,38617
611410,\,23862,23798
611411,\,113091,23915
611412,\,113206,23955
611413,\,40425,24129
611414,/,24445,99114
611415,/,24613,24616
611416,\,116240,24718
611417,/,24762,116495
611418,\,47007,24875
611419,/,24906,116990
611420,/,25000,99399
611421,\,26588,25117
611422,/,25130,51943
611423,\,51090,25306
611424,/,25393,25396
611425,\,21786,25644
611426,\,37022,25656
611427,\,99821,25744
611428,\,54792,26047
611429,\,33676,26341
611430,\,26522,26521
611431,\,26624,26627
611432,\,125966,26966
611433,\,48764,26981
611434,\,126556,27091
611435,\,127229,27213
611436,/,27330,27327
611437,\,40328,27534
611438,\,33934,27650
611439,\,36734,132747
611440,\,27855,27849
611441,\,27918,27917
611442,\,131207,132761
611443,/,28217,132004
611444,/,28603,38514
611445,\,40563,28681
611446,\,51244,29093
611447,/,29157,22517
611448,/,29196,40464
611449,\,113350,29607
611450,\,25113,30280
611451,/,30599,41016
611452,/,30599,24765
611453,/,31700,39921
611454,/,31700,23695
611455,\,38717,31836
611456,-c,139131,26814
611457,-c,139132,46369
611458,-c,139131,26789
611459,-c,139131,33242
611460,-c,139132,22586
611461,-c,139131,45296
611462,+c,22290,101106
611463,+c,22290,133227
611464,-c,101106,22290
611465,-c,139131,26750
611466,-c,139132,57857
611467,-c,139132,22634
611468,-c,139131,132702
611469,-c,139137,19771
611470,-c,139131,26776
611471,-c,139132,29936
611472,-c,139131,26822
611473,-c,139131,124815
611474,-c,139131,37720
611475,/,32568,106422
611476,/,33252,52633
611477,\,127455,33554
611478,/,34014,48283
611479,\,58139,34349
611480,\,53919,34349
611487,/,49981,56475
611502,/,49145,57809
611506,/,43433,120169
611507,/,43589,24762
611508,/,43589,116489
611509,/,43589,30883
611510,/,43768,46510
611511,\,56772,44312
611512,/,44731,56603
611513,/,44844,39805
611514,\,37508,45972
611515,\,111672,46039
611516,/,46414,97617
611517,/,46789,42302
611518,/,47549,110708
611519,/,47731,35354
611520,/,48160,21926
611521,/,48420,41063
611522,/,48420,97590
611523,/,48420,33789
611524,/,49217,21870
611525,\,57382,49960
611526,\,131635,101170
611527,\,32267,45094
611528,\,125863,52094
611529,/,52249,44796
611530,\,118317,52416
611531,/,52633,132502
611532,/,53161,23870
611533,/,53964,39921
611534,\,57806,54406
611535,\,33941,55142
611536,/,55142,35423
611537,\,57382,55563
611538,/,56475,56617
611539,/,57146,24762
611540,/,57146,24765
611541,/,57495,25672
611542,\,130747,57813
611543,/,40794,25238
611544,/,21848,41533
611545,/,27541,27549
611546,/,27640,32357
611547,/,51968,124214
611548,/,20406,97753
611549,/,24509,115439
611550,/,27103,57003
611551,/,29887,47428
611552,/,48283,22182
611614,-c,47428,24364
611723,-c,133212,20239
611738,-c,133226,21751
611752,-c,133259,40067
611753,-c,133212,19311
611754,-c,133236,24185
611755,-c,133236,34395
611756,-c,133233,22855
611757,-c,133227,22146
